Name,Latitude,Longitude,Type,Image Link,Price,Description,Great for Kids,Gift Shop,Food and Drink,World Famous
Globe Theatre,51.5081,-0.0972,Theatre,https://d30sbyh791tgpf.cloudfront.net/wp-content/blogs.dir/118/files/2020/04/shakespeare-3863539_1920.jpg,-1,Ancient theatre of William Shakespeare.,0,1,0,1
Royal Opera House,51.5129,-0.1222,Theatre,https://live.staticflickr.com/5595/31345624631_2646f6ee8b_b.jpg,-1,Great for a premium opera experience.,0,0,0,0
Highgate Cemetery,51.5669,-0.1471,Sightseeing,https://offloadmedia.feverup.com/secretldn.com/wp-content/uploads/2018/04/18143643/Highgate-Cemetery-Photo.jpg,0,Macabre setting great for walks. Be respectful.,0,0,0,0
Sky Garden,51.511177,-0.083094,Sightseeing,https://offloadmedia.feverup.com/secretldn.com/wp-content/uploads/2021/04/18050226/Sky-Garden.jpg,0,"Great views of London, as well as Londons highest garden.",0,0,1,0
Columbia Road Flower Market,51.5294,-0.0694,Shopping,https://media.timeout.com/images/100683577/image.jpg,0,Great market with a huge variety of flowers.,0,0,0,0
Brick Lane Market,51.5211,-0.073,Shopping,"https://www.tripsavvy.com/thmb/93HON4bHOcrKENg6c7MrHyqvcrs=/2121x1414/filters:fill(auto,1)/GettyImages-148858807-58fbe13d3df78ca159a2ed01.jpg",0,Historic market.,0,0,1,0
Greenwich Market,51.4816,-0.009,Shopping,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/5c/fa/46/greenwich-market-main.jpg?w=1200&h=-1&s=1,0,Superb market with lots of choices.,0,0,1,0
Chinatown,51.5109,-0.1316,Sightseeing,https://media.timeout.com/images/105272737/image.jpg,0,A London cultural centre.,0,0,1,0
Harrods,51.4994,-0.1632,Shopping,https://upload.wikimedia.org/wikipedia/commons/1/1c/Harrods_%28London%29.jpg,0,"Superb, premium shop. Quite expensive.",0,0,1,1
Liberty,51.5139,-0.14,Shopping,https://www.teahub.io/photos/full/182-1820522_liberty-london.jpg,0,Premium clothes shopping in a retro building.,0,0,1,0
Selfridges,51.5144,-0.1528,Shopping,https://www.oxfordstreet.co.uk/wp-content/uploads/2016/07/SELFRIDGES-London-East-Corner-at-night-Credits-Andrew-Meredth.jpg,0,High-end shops with a variety of products.,0,0,1,0
Westfield Stratford,51.544,-0.0053,Shopping,https://www.retailgazette.co.uk/wp-content/uploads/westfield-stratford.jpg,0,Huge shopping centre for all your shopping needs.,0,0,1,0
Westfield London,51.5076,-0.2212,Shopping,https://i2-prod.mylondon.news/news/west-london-news/article16945392.ece/ALTERNATES/s1200d/7_Westfield-London-Shepherds-Bush.jpg,0,Huge shopping centre for all your shopping needs.,0,0,1,0
Theatre Royal Drury Lane,51.5129,-0.1204,Theatre,https://keyassets.timeincuk.net/inspirewp/live/wp-content/uploads/sites/8/2021/10/FIG-1-CLI325.arch_theatre_royal.WillPryceCF134327FL-scaled.jpg,-1,"Old theatre, currently showing Frozen.",0,0,1,0
Her Majestys Theatre,51.5082,-0.1319,Theatre,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Her_Majestys_Theatre%2C_London.jpg/1200px-Her_Majestys_Theatre%2C_London.jpg,-1,"Majestic theatre, currently showing The Phantom of the Opera.",0,0,1,0
The London Palladium,51.5146,-0.1405,Theatre,https://seatplan.com/cdn/images/venue/London-Palladium-Hero-Desktop-1920wx1080h-1620977160.jpg,-1,"London's most famous theatre, with a variety of shows.",0,0,1,1
Adelphi Theatre,51.5101,-0.1229,Theatre,https://seatplan.com/cdn/images/venue/Adelphi-Theatre-Hero-Desktop-1920wx1080h-1620663816.jpg,-1,"Great theatre in the centre of London, currently showing Back to the Future: The Musical.",0,0,1,0
Apollo Victoria Theatre,51.4957,-0.1427,Theatre,https://seatplan.com/cdn/images/venue/Apollo-Victoria-Hero-Desktop-1920wx1080h-1585324844.jpg,-1,"Famous old theatre, currently showing Wicked.",0,0,1,0
Sondheim Theatre,51.5119,-0.1326,Theatre,https://www.sondheimtheatre.co.uk/imgs/theatres/sondheim-theatre/hero/sondheim-theatre-large.jpg,-1,"Good theatre, currently showing Les Miserables.",0,0,1,0
Aldwych Theatre,51.513,-0.1186,Theatre,https://i.ytimg.com/vi/pDlwAgHl55c/maxresdefault.jpg,-1,"Very central, good theatre, currently showing Tina Turner.",0,0,1,0
Royal Albert Hall,51.5009,-0.1774,Theatre,https://media.tatler.com/photos/6141e15be06e8bde602a5442/master/w_1600%2Cc_limit/rah_41384294741.jpg,-1,"Superb, famous theatrical stalward, with a variety of shows.",0,0,1,1
Monument,51.5101,-0.0859,Sightseeing,https://www.discoverbritainmag.com/wp-content/uploads/2019/08/C2PB4P.jpg,0,Lovely monument to the Great Fire of London.,0,0,0,1
Westminster Abbey,51.4994,-0.1273,Church,https://wallpaperaccess.com/full/3864683.jpg,24,Ancient church where corinations take place.,0,0,0,1
Borough Market,51.5055,-0.091,Shopping,https://cdn.vox-cdn.com/thumbor/R_hYGV48_I9GSwl0FWNpqHobgmg=/0x0:5616x3744/1200x800/filters:focal(2359x1423:3257x2321)/cdn.vox-cdn.com/uploads/chorus_image/image/55176975/Borough_Market.0.jpg,0,"Historical market, complete with street performers.",0,0,1,1
Natural History Museum,51.4967,-0.1764,Museum,"https://media.cntraveler.com/photos/5a7b4d2741ac86020aab80eb/16:9/w_2560,c_limit/Natural-History-Museum_Trustees-of-the-Natural-History-Museum,-London__2018_20170718-Blue-Whale-Hintze-Hall-1-Credit--Trustees-of-NHM.jpg",0,London's centre for natural history. It has dinosaurs.,1,1,1,0
Princess Diana Memorial Fountain,51.505,-0.1717,Sightseeing,https://upload.wikimedia.org/wikipedia/commons/c/c8/Diana%2C_Princess_of_Wales_Memorial_Fountain.JPG,0,"Lovely spot, commemerating the late Princess Diana.",0,0,0,0
Barbican Centre,51.5202,-0.0938,Sightseeing,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F5d1b1d76-70fa-11eb-bd2f-f33f509764cd.jpg?crop=3600%2C2400%2C0%2C0,0,Great theatre for lower-budget productions.,0,0,1,0
HMS Belfast,51.5066,-0.0814,Museum,https://upload.wikimedia.org/wikipedia/commons/2/2f/London_November_2013-14a.jpg,20,Old warship with a permanent home and museum.,1,1,0,0
The Gherkin,51.5145,-0.0803,Sightseeing,https://wallpapercave.com/wp/wp4596116.jpg,0,Famous part of Londons skyline.,0,0,0,0
The Churchill War Rooms,51.5022,-0.1294,Museum,https://upload.wikimedia.org/wikipedia/commons/b/ba/MapRoomCabinetWarRoomsTrim.jpg,12,Underground complex where WW2 was won.,1,1,1,0
Portobello Road Market,51.519,-0.2074,Shopping,https://images.squarespace-cdn.com/content/v1/5c9b8ff8797f74572363346f/1564489933131-95CHEGK28WMA8VXWXIXO/Portobello+Road+Market+London.jpg?format=2500w,0,Quaint market with lots of great stalls.,0,0,1,0
Victoria and Albert Museum,51.496639,-0.17218,Museum,"https://media.cntraveler.com/photos/5a7b63e069c80815f37e6055/16:9/w_2560,c_limit/Victoria-&-Albert-Museum__2018_VA_Exterior_May_2012_c_Victoria_and_Albert_Museum_London_MED.jpg",0,"Wonderful royal museum, with lots of history.",1,1,1,0
Imperial War Museum,51.495741,-0.108734,Museum,https://www.iwm.org.uk/sites/default/files/styles/feature_hero_desktop_1x/public/2021-04/iwm_site_lam_005079.jpg?itok=FxbXB4u5,0,Museum with a great collection of war-related artifacts.,1,1,1,0
Houses of Parliament,51.4995,-0.1248,Sightseeing,https://images.unsplash.com/photo-1610026378085-15d0e8f685db?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8NXx8aG91c2VzJTIwb2YlMjBwYXJsaWFtZW50fGVufDB8fDB8fA%3D%3D&w=1000&q=80,0,The place where all the decisions are made.,0,1,0,1
Admiralty Arch,51.5131,-0.1589,Sightseeing,https://e3.365dm.com/19/12/1600x900/skynews-admiralty-arch_4863199.jpg?20191211123332,0,"Famous London landmark, great to see.",0,0,0,1
Cenotaph,51.5027,-0.1261,Sightseeing,https://upload.wikimedia.org/wikipedia/commons/6/68/Wreaths_Are_Laid_at_the_Cenotaph%2C_London_During_Remembrance_Sunday_Service_MOD_45152052.jpg,0,Beautiful  war memorial.,0,0,0,0
Leicester Square,51.5104,-0.1301,Sightseeing,https://www.leicestersquare.london/wp-content/uploads/2019/05/leicester-square.jpg,0,Great shopping and eating centre of London.,0,0,1,0
Cutty Sark,51.4817,-0.0108,Sightseeing,https://img.peapix.com/4400645354144032271.jpg?attachment&modal,0,"Beautiful old boat, driven around the world.",1,1,1,0
